이름,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
로하스,140,618,542,114,189,39,1,46,368,132,0,1,63,5,5,130,10,0,8,0.349,0.416,0.679,1.095,0.466,180.3,7.62,7.22
김하성,136,612,525,110,161,24,1,29,274,105,23,2,74,8,3,68,12,2,3,0.307,0.398,0.522,0.92,0.408,147.7,6.81,3.89
양의지,128,522,455,86,151,26,1,33,278,124,5,2,46,14,7,46,11,1,6,0.332,0.405,0.611,1.016,0.437,156.8,6.09,3.81
터커,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.419,149,5.71,2.4
최형우,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.59,1.023,0.45,168.6,5.71,7.2
이정후,138,607,536,84,179,48,5,15,282,100,12,2,58,4,5,47,16,2,7,0.334,0.398,0.526,0.925,0.408,145.2,5.68,3.98
김현수,140,610,538,97,178,34,2,22,282,117,0,2,63,2,7,53,9,0,7,0.331,0.398,0.524,0.923,0.408,148.8,5.24,5.06
황재균,132,591,535,105,166,34,5,21,273,95,11,6,47,4,0,98,12,2,3,0.31,0.368,0.51,0.879,0.39,129.3,5.06,3.56
나성범,128,576,519,114,168,36,2,33,307,107,3,1,47,9,2,147,6,0,1,0.324,0.389,0.592,0.98,0.428,150.9,4.94,3.86
손아섭,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,0.352,0.415,0.493,0.907,0.409,140,4.93,4.57
최정,131,544,444,89,119,22,0,32,237,93,8,3,75,19,1,97,7,0,6,0.268,0.392,0.534,0.925,0.408,137.6,4.77,4.57
강백호,127,565,492,92,162,36,1,23,269,88,7,2,65,5,9,92,7,0,3,0.329,0.411,0.547,0.957,0.421,149.7,4.69,3.21
박민우,124,523,461,81,160,27,5,8,221,62,13,6,36,15,2,48,12,2,9,0.347,0.405,0.479,0.884,0.399,133.8,4.48,1.47
김재환,138,603,507,80,133,25,1,29,247,109,6,0,89,1,3,151,14,0,6,0.262,0.37,0.487,0.857,0.38,132.5,4.44,2.06
