순,이름,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,,,,,
1,페르난데스,355,311,68,111,11,0,16,170,62,0,1,31,7,1,19,17,0,6,,,,,
2,오재일,283,253,41,90,19,0,13,148,61,2,0,29,0,0,49,6,0,1,,,,,
3,박민우,267,232,40,82,9,3,4,109,34,8,3,23,8,2,22,6,0,4,,,,,
4,박건우,286,248,63,84,26,0,9,137,36,3,1,24,9,0,29,6,1,4,,,,,
5,최형우,302,263,41,89,21,0,14,152,65,0,0,33,3,1,52,3,0,3,,,,,
6,최원준,219,187,44,63,8,4,0,79,17,7,1,20,5,0,18,0,5,2,,,,,
7,허경민,239,217,39,73,14,0,6,105,29,4,4,15,3,1,14,7,0,4,,,,,
8,강백호,289,253,44,85,21,0,12,142,48,4,0,33,3,5,46,1,0,0,,,,,
9,김현수,313,274,53,92,17,1,16,159,68,0,1,36,0,4,27,6,0,3,,,,,
10,채은성,239,215,32,71,9,2,11,117,53,0,3,17,4,1,38,6,0,3,,,,,
11,김하성,316,271,63,89,13,0,22,168,61,11,2,39,2,1,29,6,2,2,,,,,
12,손아섭,299,265,42,87,23,0,5,125,38,1,0,29,1,4,29,5,1,3,,,,,
13,김동엽,238,218,30,71,9,0,7,101,33,3,4,16,3,0,40,8,0,1,,,,,
14,정수빈,286,256,39,81,10,3,4,109,43,5,4,24,1,1,31,5,4,1,,,,,
15,양의지,278,234,46,74,10,1,15,131,56,1,1,27,12,5,27,5,1,4,,,,,
16,로하스,328,290,55,90,21,0,21,174,66,0,0,30,3,2,77,3,0,5,,,,,
17,이정후,304,268,44,83,24,2,8,135,54,4,1,30,1,3,23,10,0,5,,,,,
18,유강남,259,231,33,71,11,0,10,112,43,1,1,18,8,0,44,9,1,1,,,,,
19,최주환,300,264,35,81,18,1,8,125,46,0,1,27,5,3,39,2,0,4,,,,,
20,정훈,238,212,36,64,11,0,7,96,35,6,0,21,0,0,44,4,1,4,,,,,
21,터커,329,283,47,85,23,0,15,153,58,0,1,39,5,0,31,8,0,2,,,,,
22,황재균,299,270,56,81,12,3,10,129,45,6,5,24,3,0,50,3,1,1,,,,,
23,강진성,223,207,23,62,13,0,3,84,32,4,1,8,5,0,24,8,0,3,,,,,
24,김재환,330,275,53,82,15,0,19,154,64,4,0,51,0,1,80,9,0,4,,,,,
25,박해민,267,243,37,72,7,4,4,99,29,20,5,18,0,1,45,2,4,2,,,,,
26,노진혁,262,232,40,68,12,0,13,119,46,0,4,27,2,2,51,4,1,0,,,,,
27,김상수,206,181,28,53,8,0,1,64,21,5,1,21,3,0,25,8,0,1,,,,,
28,오지환,314,281,56,82,22,5,7,135,46,9,5,23,4,0,56,3,4,2,,,,,
29,라모스,254,224,42,65,8,1,27,156,54,0,0,26,2,3,68,5,0,2,,,,,
30,나성범,277,245,45,71,11,1,15,129,43,0,1,26,5,1,65,2,0,1,,,,,
31,이명기,256,221,32,64,7,2,0,75,23,10,3,28,2,0,36,3,4,1,,,,,
32,이용규,256,218,31,63,8,0,1,74,17,10,3,33,2,0,16,6,2,1,,,,,
33,홍창기,278,225,49,65,15,3,3,95,26,9,2,43,7,0,40,4,2,1,,,,,
34,조용호,246,209,40,60,5,0,0,65,16,6,2,32,1,1,43,4,3,1,,,,,
35,로맥,287,242,47,69,20,0,18,143,48,2,1,41,3,3,56,3,0,1,,,,,
36,최재훈,192,172,21,49,11,0,2,66,17,0,0,8,12,0,23,2,0,0,,,,,
37,서건창,309,246,42,70,15,1,4,99,31,11,7,52,2,0,24,4,4,5,,,,,
38,나지완,283,234,30,66,8,1,5,91,34,0,0,32,13,0,52,2,0,4,,,,,
39,박경수,188,153,15,43,6,0,7,70,30,0,1,23,7,1,46,6,3,2,,,,,
40,알테어,273,245,48,68,12,2,15,129,48,11,1,21,5,2,80,6,0,2,,,,,
41,장성우,231,202,19,56,8,0,7,85,38,0,0,19,0,0,31,6,7,3,,,,,
42,박동원,188,163,26,45,10,0,6,73,23,0,0,21,2,0,32,4,1,1,,,,,
43,이대호,311,284,33,78,10,0,14,130,59,1,0,21,3,4,36,11,0,3,,,,,
44,김재호,226,201,25,55,6,0,2,67,21,4,2,19,4,0,27,10,0,2,,,,,
45,구자욱,248,220,31,60,13,1,7,96,34,8,0,22,3,1,37,3,1,2,,,,,
46,이원석,222,192,21,52,11,0,4,75,36,0,1,23,0,0,42,4,1,6,,,,,
47,최정,290,235,46,63,11,0,14,116,44,7,0,45,7,1,55,5,0,3,,,,,
48,전병우,213,191,28,51,7,2,5,77,27,5,0,18,2,0,51,3,1,1,,,,,
49,박준태,224,173,34,46,8,1,5,71,22,3,1,34,10,0,59,4,6,1,,,,,
50,김혜성,274,251,43,66,13,4,5,102,36,12,2,17,1,0,44,4,2,3,,,,,
51,마차도,285,244,37,64,7,0,4,83,23,9,1,30,4,0,26,13,4,3,,,,,
52,박석민,202,167,20,43,5,0,5,63,24,0,0,27,5,0,34,6,1,1,,,,,
53,김성현,199,175,18,44,4,0,2,54,14,0,0,14,1,0,15,5,8,1,,,,,
54,전준우,324,289,44,72,13,1,12,123,44,4,4,28,5,0,47,11,1,1,,,,,
55,박세혁,202,173,22,43,6,1,1,54,17,1,2,17,8,0,30,3,3,1,,,,,
56,최지훈,269,247,29,61,11,3,0,78,15,11,1,16,0,0,43,0,3,3,,,,,
57,유민상,229,199,18,49,12,0,5,76,34,0,0,25,3,0,44,7,1,1,,,,,
58,한동희,256,220,24,54,10,0,8,88,26,0,1,29,3,0,43,9,4,0,,,,,
59,유한준,232,212,23,52,8,0,7,81,33,0,0,19,0,2,32,5,1,0,,,,,
60,정주현,209,177,26,43,5,4,1,59,13,3,4,21,1,0,33,5,8,2,,,,,
