순,이름,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비
1,허경민,249,219,36,84,16,0,3,109,35,8,4,20,2,1,13,8,3,5
2,박민우,273,238,43,88,11,4,6,125,37,7,5,18,9,0,23,6,2,6
3,김동엽,222,203,37,75,13,0,13,127,47,4,3,14,3,0,30,5,1,1
4,최원준,204,174,44,64,9,2,1,80,19,7,2,18,5,0,14,0,4,3
5,이정후,312,277,40,100,26,2,10,160,63,8,2,28,2,4,23,7,1,4
6,최형우,307,270,47,90,19,1,13,150,59,0,0,32,2,2,53,5,0,3
,황재균,285,252,57,84,21,1,10,137,48,5,4,27,2,0,44,4,1,3
8,박세혁,206,175,23,58,12,2,2,80,27,2,0,15,9,0,20,4,6,1
9,강백호,274,236,50,78,18,1,12,134,47,4,2,35,1,5,44,7,0,2
10,채은성,220,203,26,67,13,0,8,104,43,0,0,9,4,0,33,5,0,4
11,페르난데스,334,297,45,97,16,0,12,149,52,0,1,27,6,1,30,11,0,4
12,손아섭,311,278,47,90,22,0,4,124,32,3,0,29,1,3,35,6,0,3
13,조용호,227,195,34,63,7,0,0,70,20,7,1,28,0,0,41,5,3,1
14,허정협,193,165,22,53,7,0,8,84,30,0,0,23,2,0,38,2,2,1
15,강진성,224,204,33,65,14,0,9,106,38,6,0,12,5,0,24,8,1,2
16,로하스,312,270,57,86,12,1,30,190,69,0,0,35,2,2,68,5,0,5
17,최주환,286,250,29,79,15,1,7,117,42,1,1,27,3,3,32,5,1,5
18,유한준,191,171,21,54,8,0,6,80,34,0,0,20,0,1,20,4,0,0
19,나성범,305,271,50,85,21,2,13,149,48,3,0,29,4,0,85,3,0,1
20,김현수,305,268,44,84,14,1,8,124,52,0,1,32,1,3,29,3,0,4
21,박해민,278,251,44,78,11,4,5,112,29,18,7,18,2,0,38,2,5,2
22,김재호,220,197,26,61,8,0,1,72,19,2,1,19,1,1,17,9,1,2
23,구자욱,254,224,41,69,13,1,11,117,45,8,1,24,3,2,52,3,0,3
24,양의지,266,234,36,72,13,1,13,126,55,3,2,27,5,4,27,6,0,0
25,전준우,319,281,51,84,21,0,14,147,51,3,4,31,3,0,39,12,2,2
26,알테어,279,243,46,72,9,2,17,136,54,14,2,24,8,2,69,5,0,4
,이원석,224,189,26,56,10,0,6,84,31,0,1,27,2,1,36,3,0,6
28,김상수,227,196,33,58,10,1,2,76,25,4,0,25,4,0,24,9,1,1
29,터커,326,286,48,84,24,0,16,156,59,0,0,35,3,1,38,6,0,2
30,이용규,222,191,24,56,7,1,1,68,17,7,3,29,2,0,16,2,0,0
31,정수빈,276,240,38,70,9,3,1,88,32,7,3,27,2,2,29,6,5,2
32,박석민,231,196,26,57,8,0,5,80,31,0,0,29,4,0,37,8,1,1
33,장성우,213,190,20,55,9,0,6,82,39,0,0,16,0,0,37,5,4,3
34,나지완,292,249,36,72,9,0,9,108,46,0,0,29,10,1,62,0,0,4
35,오재일,267,234,22,67,12,0,4,91,45,1,1,31,0,1,47,5,0,2
36,박건우,277,238,47,68,19,0,6,105,33,4,1,27,5,1,32,6,1,6
37,서건창,296,239,38,68,16,2,2,94,28,13,5,49,2,0,24,3,1,5
38,강민호,185,173,22,49,10,0,12,95,35,0,0,9,2,0,27,9,0,1
39,최재훈,188,164,22,46,10,0,1,59,15,0,0,17,3,0,19,4,4,0
40,배정대,298,257,40,72,12,1,9,113,37,9,7,37,1,0,74,3,1,2
,김혜성,287,257,43,72,14,3,5,107,32,10,4,26,2,0,46,4,2,0
42,오지환,286,252,48,70,19,5,5,114,34,10,6,22,5,1,50,2,4,3
43,박경수,184,153,19,42,9,0,6,69,31,0,0,20,6,0,45,8,0,5
44,정훈,248,215,31,59,9,0,3,77,25,5,0,28,3,0,43,5,1,1
45,이대호,321,283,36,77,14,0,13,130,60,0,0,29,3,4,35,12,0,6
46,안치홍,230,203,23,55,10,0,4,77,21,8,2,21,4,1,21,5,2,0
47,유강남,237,212,28,57,9,0,10,96,39,0,0,19,5,1,43,5,1,0
48,김하성,312,269,55,72,12,1,12,122,47,14,2,38,3,0,41,5,0,2
49,한동희,283,240,32,64,12,0,7,97,33,0,1,37,3,0,47,9,1,2
50,로맥,293,234,38,62,15,0,14,119,31,2,0,53,4,1,60,3,0,2
51,홍창기,267,205,38,54,16,2,2,80,21,4,3,50,6,1,43,4,3,3
52,마차도,291,255,35,67,16,0,6,101,30,8,1,26,2,0,31,13,3,5
53,이명기,268,238,35,62,8,1,2,78,16,7,0,25,1,0,48,2,1,3
54,라모스,227,200,29,52,6,1,17,111,37,1,0,24,2,3,62,4,0,1
55,유민상,242,208,22,54,12,0,4,78,36,0,0,27,4,1,41,9,0,3
56,김성현,185,159,16,41,6,1,2,55,7,0,0,19,4,0,11,7,3,0
57,최정,261,214,37,55,9,0,13,103,36,3,2,35,11,1,40,4,0,1
58,권희동,213,167,35,42,8,0,7,71,29,1,0,34,7,0,40,3,3,2
59,박준태,234,189,40,47,5,0,2,58,16,4,1,28,10,0,74,2,5,2
60,정주현,191,170,26,41,7,2,2,58,11,5,3,13,2,0,33,2,5,1
