순,이름,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비
1,김선빈,180,150,26,57,8,0,1,68,22,0,0,24,2,0,21,7,1,3
2,손아섭,297,259,50,98,21,0,7,140,52,2,0,32,1,1,21,3,1,4
3,로하스,311,275,57,104,26,0,16,178,62,0,1,30,3,3,63,6,0,3
4,최형우,288,247,44,92,17,0,15,154,56,0,0,38,3,3,48,4,0,0
5,페르난데스,334,289,59,102,13,0,9,142,53,0,0,31,7,0,12,15,0,7
6,김현수,310,275,54,97,21,1,14,162,67,0,1,31,1,4,24,6,0,3
7,양의지,258,224,50,79,13,0,20,152,69,2,0,19,8,3,20,5,1,6
8,이명기,268,236,47,83,10,2,0,97,28,4,7,24,3,0,30,4,4,1
9,김하성,306,260,54,89,12,0,16,149,59,9,0,37,5,3,26,7,3,1
10,나성범,275,250,65,85,16,0,21,164,64,0,1,20,5,2,63,3,0,0
11,오재일,267,237,40,80,20,0,12,136,44,1,0,30,0,0,45,7,0,0
12,노진혁,248,217,47,72,15,1,16,137,60,0,3,26,3,2,52,4,2,0
13,강백호,295,259,45,85,18,0,11,136,41,3,0,31,4,4,48,0,0,1
14,최재훈,194,169,24,55,8,0,2,69,20,0,0,11,13,0,22,3,1,0
15,박석민,217,160,32,52,7,0,9,86,32,0,1,46,6,2,25,3,1,3
16,정훈,224,192,41,62,10,1,8,98,33,6,1,28,0,0,42,3,1,3
17,박건우,274,249,56,80,21,0,8,125,37,4,1,15,7,1,33,3,2,1
18,터커,300,251,51,80,16,0,15,141,52,0,2,41,6,2,29,6,0,2
19,김재환,305,258,45,82,18,0,15,145,74,2,0,43,1,1,73,6,0,3
20,박민우,253,225,39,71,16,1,2,95,26,6,1,18,6,2,25,6,0,4
21,오지환,297,267,46,84,22,2,5,125,36,10,2,23,4,0,63,2,1,2
22,김상수,244,208,38,65,8,2,3,86,22,6,3,30,4,1,31,7,1,1
23,이대호,285,254,30,79,12,0,7,112,49,1,0,24,2,5,33,9,0,5
24,로맥,285,243,47,75,17,0,18,146,60,2,2,38,2,4,52,2,0,2
25,이정후,302,264,45,81,23,3,5,125,38,4,0,31,2,2,24,9,1,4
26,구자욱,256,222,29,68,14,1,4,96,33,11,4,27,5,1,39,1,1,1
27,정수빈,283,250,46,76,8,5,4,106,27,8,3,28,0,1,27,4,2,3
28,안치홍,226,205,26,62,18,0,4,92,32,6,1,14,3,1,26,6,2,2
29,최지훈,269,236,38,71,15,2,0,90,13,12,3,24,3,0,34,4,4,2
30,홍창기,232,195,49,58,13,4,3,88,18,7,2,33,4,0,43,3,0,0
31,마차도,264,227,42,67,14,1,5,98,33,7,0,27,6,2,29,7,1,3
32,강진성,207,190,20,56,11,0,3,76,32,3,1,8,4,0,22,3,1,4
,황재균,310,285,50,84,14,4,11,139,49,5,2,19,3,0,53,8,2,1
34,라모스,259,224,44,66,11,1,20,139,47,1,0,30,2,2,70,3,0,3
35,최주환,287,258,34,76,14,3,9,123,44,1,1,21,3,2,34,2,0,5
36,배정대,313,273,47,80,13,2,4,109,28,13,5,30,4,0,67,6,4,2
37,김혜성,263,239,37,70,10,3,2,92,29,15,3,20,0,0,47,2,0,4
38,강민호,208,182,24,53,4,0,7,78,26,0,0,22,2,2,27,8,0,2
39,박경수,206,170,14,49,8,0,7,78,28,0,1,28,3,2,51,6,3,2
40,최원준,208,185,27,53,7,4,1,71,16,7,1,15,1,0,21,1,5,2
41,나지완,259,214,35,61,9,1,7,93,42,0,0,35,8,0,52,5,0,2
42,한동희,243,216,28,61,9,0,10,100,33,0,2,20,2,0,49,6,4,1
43,최정,284,232,52,65,13,0,19,135,59,5,1,38,9,0,57,3,0,5
44,허경민,238,218,34,61,9,1,4,84,23,6,2,15,3,1,15,2,0,2
45,김성현,201,179,17,50,3,0,0,53,17,1,1,11,1,0,16,3,7,3
46,이천웅,185,166,26,46,8,2,3,67,17,4,2,15,1,0,23,2,1,2
47,이용규,251,216,33,59,6,1,0,67,15,9,4,28,4,0,19,7,2,1
48,박동원,197,169,28,46,14,0,6,78,29,0,0,21,4,0,30,4,2,1
49,조용호,255,214,39,58,8,0,0,66,12,5,2,36,2,1,42,1,2,1
50,권희동,212,178,32,48,8,0,5,71,21,2,0,24,4,0,32,3,3,3
51,김재호,237,204,22,55,7,1,1,67,20,4,1,26,3,0,28,8,1,3
52,박해민,263,238,40,64,7,1,6,91,26,16,5,21,1,1,39,5,2,1
53,서건창,296,242,40,65,12,3,3,92,24,11,5,42,3,1,33,5,4,5
54,채은성,240,210,33,55,4,2,7,84,45,0,3,22,5,1,34,7,0,3
55,장성우,239,207,18,54,6,0,7,81,40,0,0,22,1,0,27,10,6,3
56,알테어,267,239,44,62,11,5,14,125,54,8,1,22,4,1,80,5,0,2
57,노시환,192,171,22,44,10,1,4,68,25,0,1,18,2,0,59,7,0,1
58,전준우,304,276,43,71,11,1,12,120,44,2,1,21,5,0,39,9,1,1
59,김동엽,229,210,23,54,8,0,7,83,27,0,1,15,1,0,49,9,0,3
60,전병우,181,161,23,41,6,1,5,64,28,2,0,18,0,0,45,3,1,1
