순,이름,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비
1,로하스,300,260,61,102,18,1,26,200,69,0,1,35,2,3,55,8,0,3
2,손아섭,312,275,56,103,20,0,6,141,47,4,0,32,1,0,27,4,0,4
3,최형우,298,259,52,96,16,1,14,156,50,0,0,37,2,4,49,6,0,0
4,이정후,313,276,41,98,25,3,7,150,47,8,1,29,3,3,24,6,2,3
5,나성범,307,280,70,99,26,1,19,184,69,3,0,23,4,1,83,4,0,0
6,배정대,304,263,58,92,15,3,9,140,43,12,8,34,1,0,62,3,3,3
7,박석민,246,189,38,66,10,0,9,103,39,0,1,48,5,2,28,5,1,3
8,안치홍,231,208,34,71,20,0,5,106,31,9,2,18,3,1,25,4,2,0
9,구자욱,262,226,39,77,14,1,8,117,44,11,5,29,5,2,54,1,0,2
10,양의지,250,227,40,77,16,0,18,147,68,4,1,19,2,2,20,6,0,2
11,박민우,263,235,42,79,18,2,4,113,29,5,3,13,7,0,26,6,2,6
12,강민호,208,188,30,63,8,0,14,113,35,0,0,17,1,0,29,8,0,2
13,허경민,248,220,31,72,11,1,1,88,29,10,2,20,2,1,14,3,3,3
14,김현수,306,273,45,89,18,1,6,127,51,0,1,27,2,3,26,3,0,4
15,황재균,301,271,52,88,23,2,11,148,52,5,1,23,2,0,48,9,2,3
16,강백호,285,247,51,80,15,1,11,130,41,3,2,33,2,4,47,6,0,3
17,유한준,196,174,25,56,9,0,4,77,31,0,0,21,0,0,19,4,0,1
18,이명기,284,256,50,82,11,1,2,101,22,2,4,22,2,0,42,3,1,3
19,페르난데스,313,275,36,88,18,0,5,121,43,0,0,27,6,0,23,9,0,5
20,강진성,209,188,30,60,12,0,9,99,38,5,0,12,4,0,22,3,2,3
21,최재훈,197,167,25,53,8,0,1,64,19,0,0,21,4,0,21,5,5,0
22,최원준,193,172,28,54,8,2,2,72,18,7,2,13,1,0,17,1,4,3
23,김상수,265,223,43,70,10,3,4,98,26,5,2,34,5,1,30,8,2,1
24,터커,302,259,53,81,17,0,17,149,55,0,1,37,4,3,36,4,0,2
25,전준우,304,273,51,85,21,0,14,148,52,1,1,24,3,0,32,10,2,2
26,이대호,300,258,34,80,17,0,6,115,51,0,0,32,2,5,32,10,0,8
27,오지환,277,246,39,76,19,2,3,108,25,11,3,22,5,1,60,1,1,3
28,한동희,275,241,38,74,12,0,9,113,41,0,2,28,2,0,54,6,1,3
29,김혜성,279,248,37,76,11,2,2,97,25,13,5,29,1,0,50,2,0,1
30,조용호,236,200,33,61,10,0,0,71,16,6,1,32,1,0,40,2,2,1
31,김재호,231,200,23,61,9,1,0,72,18,2,0,26,0,1,18,7,2,3
32,최주환,273,244,28,74,11,3,8,115,40,2,1,21,1,2,27,5,1,6
33,나지완,273,234,43,70,11,0,12,117,58,0,0,32,5,1,62,4,0,2
34,마차도,275,242,42,72,24,1,8,122,44,6,0,24,4,2,34,7,0,5
35,김동엽,213,195,30,58,12,0,13,109,41,1,0,13,1,0,39,6,1,3
36,김성현,193,168,16,49,5,1,0,56,11,1,1,16,4,0,12,5,3,2
37,박세혁,221,187,25,54,12,1,3,77,34,4,1,18,4,0,15,4,6,6
38,권희동,222,177,40,51,12,0,9,90,32,2,0,34,7,0,33,4,1,3
39,정훈,238,198,36,57,8,1,4,79,23,5,1,35,4,0,41,4,1,0
40,박해민,274,246,47,70,11,1,7,104,26,14,7,21,3,0,32,5,3,1
41,이용규,231,201,29,57,6,2,0,67,15,7,5,26,4,0,20,3,0,0
42,김하성,306,262,48,74,11,1,8,111,48,12,0,36,6,2,39,6,1,1
43,박경수,203,171,18,48,11,0,6,77,29,0,0,25,2,1,50,8,0,5
44,로맥,299,243,38,68,12,0,14,122,43,2,1,50,3,2,60,2,0,3
45,알테어,273,237,42,66,8,5,16,132,60,11,2,25,7,1,69,4,0,4
46,정수빈,273,234,45,65,7,5,1,85,16,10,2,31,1,2,25,5,3,4
,장성우,224,198,20,55,7,0,6,80,41,0,0,19,1,0,33,9,3,3
48,최정,263,217,44,59,11,0,19,127,52,1,3,30,13,0,43,2,0,3
49,최지훈,251,219,37,59,8,2,1,74,12,7,5,22,5,0,37,4,5,0
50,서건창,286,238,37,64,13,4,1,88,21,13,3,39,3,1,34,4,1,5
51,박건우,265,239,40,64,14,0,5,93,34,5,1,18,3,2,36,3,2,3
52,홍창기,229,183,38,49,14,3,2,75,13,2,3,40,3,1,47,4,1,2
53,허정협,183,157,23,42,10,0,4,64,25,0,0,24,0,0,34,6,2,0
54,라모스,240,207,32,55,9,1,11,99,32,2,0,29,2,2,68,2,0,2
55,이원석,245,211,25,56,6,0,9,89,38,0,0,26,2,1,40,3,0,6
56,오재일,251,218,21,57,13,0,3,79,28,0,1,32,0,1,43,6,0,1
57,심우준,271,240,33,62,7,1,3,80,31,19,6,21,1,0,35,3,7,2
58,채은성,225,201,27,51,8,0,4,71,35,0,0,15,5,0,31,6,0,4
59,노진혁,222,195,30,49,10,3,7,86,36,0,0,22,3,1,55,4,2,0
60,박찬호,256,233,34,58,9,0,3,76,21,7,4,17,0,0,35,8,4,2
